text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence,judge_reason,stored_verdict,stt_model
bevacizumab,drug,beh-va-KIZ-oo-mab,HURTS,-0.122,Please take your Bevacizumab as prescribed.,Please take your Bivacagazomab as prescribed.,Please take your bevacizumab as prescribed.,"The ""without dictionary"" transcript already correctly rendered ""Bevacizumab,"" while the ""with dictionary"" transcript mangled it into ""Bivacagazomab.""",WASH,
cetuximab,drug,se-TUX-i-mab,HURTS,-0.115,Please take your cetuximab as prescribed.,Please take your C2-Ximab as prescribed.,Please take your cetuximab as prescribed.,"The without-dictionary transcript already produced the correct term ""cetuximab,"" while the with-dictionary transcript garbled it into ""C2-Ximab.""",HELPS,
panitumumab,drug,pan-i-TOO-moo-mab,HURTS,-0.129,Please take your Panatumumab as prescribed.,Please take your PanEye 2 Moomab as prescribed.,Please take your panitumumab as prescribed.,"Without dictionary, the term was rendered as ""Panatumumab,"" which is a close and acceptable pronunciation of ""panitumumab,"" whereas the dictionary version produced a garbled ""PanEye 2 Moomab.""",WASH,
pembrolizumab,drug,pem-broh-LIZ-oo-mab,WASH,0.0,Please take your Pembrolizumab as prescribed.,Please take your Pembrolizumab as prescribed.,Please take your pembrolizumab as prescribed.,Both transcripts are identical and correctly render the term.,HELPS,
nivolumab,drug,niv-OL-oo-mab,WASH,-0.052,Please take your nivolumab as prescribed.,Please take your Niv-Al-Umab as prescribed.,Please take your nivolumab as prescribed.,"Both transcripts attempt the drug name but neither matches the target ""nivolumab"" cleanly; the dictionary version fragments it into ""Niv-Al-Umab"" which is arguably worse, but the without-dictionary version also doesn't clearly recover the correct pronunciation.",WASH,
ipilimumab,drug,i-pi-LIM-oo-mab,WASH,0.0,Please take your ipilimumab as prescribed.,Please take your ipilimumab as prescribed.,Please take your ipilimumab as prescribed.,Both transcripts are identical and correctly render the term.,WASH,
atezolizumab,drug,a-TEZ-oh-LIZ-oo-mab,WASH,-0.036,Please take your atezolizumab as prescribed.,Please take your Atezolinumab as prescribed.,Please take your atezolizumab as prescribed.,"Both transcripts are close approximations of ""atezolizumab""; the dictionary version changed capitalization and altered a vowel but didn't meaningfully improve recovery of the target term.",HELPS,
durvalumab,drug,dur-VAL-oo-mab,WASH,-0.007,Please take your Dervalumab as prescribed.,Please take your Derval-Umab as prescribed.,Please take your durvalumab as prescribed.,"Both transcripts mispronounce ""durvalumab"" as ""Dervalumab""; the dictionary version adds an awkward hyphenation but doesn't improve accuracy.",WASH,
avelumab,drug,a-VEL-oo-mab,WASH,0.042,Please take your avilumab as prescribed.,Please take your Avelumab as prescribed.,Please take your avelumab as prescribed.,unparsed judge output: 'VERDICT|HELPS',HELPS,
cisplatin,drug,sis-PLAT-in,WASH,0.0,Please take your cisplatin as prescribed.,Please take your cisplatin as prescribed.,Please take your cisplatin as prescribed.,"Both transcripts are identical and correctly render ""cisplatin.""",HELPS,
carboplatin,drug,kar-boh-PLAT-in,HURTS,-0.015,Please take your carboplatin as prescribed.,Please take your CarboPlate in as prescribed.,Please take your carboplatin as prescribed.,"The without-dictionary transcript correctly rendered ""carboplatin,"" while the with-dictionary transcript mangled it into ""CarboPlate in,"" which is worse.",HURTS,
oxaliplatin,drug,ok-SAL-i-plat-in,HURTS,-0.065,Please take your oxaloplatin as prescribed.,Please take your OK Sally Plattin as prescribed.,Please take your oxaliplatin as prescribed.,"The without-dictionary transcript correctly rendered ""oxaloplatin"" (close to the target), while the with-dictionary transcript mangled it into ""OK Sally Plattin.""",WASH,
paclitaxel,drug,pak-li-TAKS-el,WASH,0.0,Please take your Paclitaxel as prescribed.,Please take your Paclitaxel as prescribed.,Please take your paclitaxel as prescribed.,"Both transcripts are identical and correctly render ""Paclitaxel,"" so the dictionary entry produced no change.",HELPS,
docetaxel,drug,doh-se-TAKS-el,WASH,0.0,Please take your docetaxel as prescribed.,Please take your docetaxel as prescribed.,Please take your docetaxel as prescribed.,"Both transcripts are identical and correctly render ""docetaxel,"" so the dictionary entry produced no change.",WASH,
doxorubicin,drug,dok-soh-ROO-bi-sin,HURTS,-0.044,Please take your doxorubicin as prescribed.,Please take your Doxo Robicin as prescribed.,Please take your doxorubicin as prescribed.,"The ""without dictionary"" transcript already correctly rendered ""doxorubicin,"" while the ""with dictionary"" transcript mangled it into ""Doxo Robicin.""",WASH,
daunorubicin,drug,daw-noh-ROO-bi-sin,HURTS,-0.016,Please take your Donnarubicin as prescribed.,Please take your Da No Ru Ba Sin as prescribed.,Please take your daunorubicin as prescribed.,"The ""without dictionary"" transcript ""Donnarubicin"" is a closer phonetic match to ""daunorubicin"" than the fragmented syllable-by-syllable ""Da No Ru Ba Sin"" produced with the dictionary.",HELPS,
vincristine,drug,vin-KRIS-teen,WASH,0.0,Please take your Vincristine as prescribed.,Please take your Vincristine as prescribed.,Please take your vincristine as prescribed.,"Both transcripts are identical and correctly render ""Vincristine.""",WASH,
vinblastine,drug,vin-BLAS-teen,WASH,-0.049,Please take your Venblastine as prescribed.,Please take your Vinblaze Teen as prescribed.,Please take your vinblastine as prescribed.,"Both transcripts mispronounce the term; the dictionary version (""Vinblaze Teen"") is arguably worse and more fragmented than the original (""Venblastine""), with no clear recovery of the correct pronunciation.",WASH,
vinorelbine,drug,vi-NOR-el-been,WASH,0.0,Please take your VINAR ALBINE as prescribed.,Please take your vinaural bin as prescribed.,Please take your vinorelbine as prescribed.,"Both transcripts fail to recover ""vinorelbine"" — the dictionary version is arguably worse (""vinaural bin"") and neither matches the target.",WASH,
etoposide,drug,e-TOH-poh-side,HURTS,-0.046,Please take your etoposide as prescribed.,Please take your Itoto side as prescribed.,Please take your etoposide as prescribed.,"Without dictionary, ""etoposide"" was transcribed correctly; with dictionary, it became garbled as ""Itoto side.""",HURTS,
cyclophosphamide,drug,sy-kloh-FOS-fa-mide,WASH,0.0,Please take your cyclophosphamide as prescribed.,Please take your cyclophosphamide as prescribed.,Please take your cyclophosphamide as prescribed.,"Both transcripts already produced the correct term ""cyclophosphamide"" identically, so the dictionary entry had no effect.",HURTS,
ifosfamide,drug,i-FOS-fa-mide,WASH,-0.055,Please take your ifasfamide as prescribed.,Please take your i-phosphamide as prescribed.,Please take your ifosfamide as prescribed.,"Both transcripts fail to produce the correct term ""ifosfamide"" — the dictionary version produces a different wrong word (""i-phosphamide"") rather than improving pronunciation.",WASH,
methotrexate,drug,meth-oh-TREK-sate,WASH,0.0,Please take your methotrexate as prescribed.,Please take your methotrexate as prescribed.,Please take your methotrexate as prescribed.,"Both transcripts are identical and correctly render ""methotrexate,"" so the dictionary entry made no difference.",WASH,
pemetrexed,drug,pem-e-TREK-sed,WASH,0.007,Please take your Pemetrexate as prescribed.,Please take your Pemetrexed as prescribed.,Please take your pemetrexed as prescribed.,"Both transcripts are very close to the target; the dictionary version is marginally more accurate (""Pemetrexed"" vs ""Pemetrexate""), but the difference is minimal and the without-dictionary version is already intelligible.",HURTS,
gemcitabine,drug,jem-SITE-a-been,HURTS,-0.153,Please take your gemcitabine as prescribed.,Please take your gem cyto-ben as prescribed.,Please take your gemcitabine as prescribed.,"The without-dictionary transcript correctly rendered ""gemcitabine,"" while the with-dictionary transcript mangled it into ""gem cyto-ben.""",HELPS,
fluorouracil,drug,floor-oh-YOO-ra-sil,WASH,0.093,Please take your Floricill as prescribed.,Please take your Floroyoracil as prescribed.,Please take your fluorouracil as prescribed.,"Both transcripts miss the target ""fluorouracil"" — the dictionary version is slightly closer but still garbled and not clearly correct.",HURTS,
capecitabine,drug,ka-pe-SITE-a-been,HURTS,-0.065,Please take your capecitabine as prescribed.,Please take your Copacitabin as prescribed.,Please take your capecitabine as prescribed.,"Without dictionary the term was rendered correctly as ""capecitabine""; with dictionary it became the garbled ""Copacitabin,"" which is worse.",HURTS,
cytarabine,drug,sy-TAIR-a-been,HURTS,-0.077,Please take your Cytarabine as prescribed.,Please take your Cytera Ben as prescribed.,Please take your cytarabine as prescribed.,"The without-dictionary transcript correctly produced ""Cytarabine,"" while the with-dictionary transcript garbled it into ""Cytera Ben.""",HELPS,
adalimumab,drug,a-da-LIM-oo-mab,WASH,0.0,Please take your Adelmiumab as prescribed.,Please take your adalamubab as prescribed.,Please take your adalimumab as prescribed.,"Both transcripts are garbled attempts at ""adalimumab"" with no clear improvement; the dictionary version is arguably worse (""adalamubab"" vs ""Adelmiumab"").",HELPS,distil-whisper/distil-large-v2
etanercept,drug,e-TAN-er-sept,HELPS,0.021,Please take your Eat Intercept as prescribed.,Please take your etanercept as prescribed.,Please take your etanercept as prescribed.,"The without-dictionary transcript misheard ""etanercept"" as ""Eat Intercept,"" while the with-dictionary transcript correctly recovered the target term.",HURTS,
infliximab,drug,in-FLIK-si-mab,WASH,0.0,Please take your infliximab as prescribed.,Please take your infliximab as prescribed.,Please take your infliximab as prescribed.,"Both transcripts are identical and correctly render ""infliximab,"" so the dictionary entry produced no change.",WASH,
certolizumab,drug,ser-toh-LIZ-oo-mab,WASH,0.036,Please take your Cirtalizumab as prescribed.,Please take your Sertolizumab as prescribed.,Please take your certolizumab as prescribed.,"Both transcripts are close misspellings of ""certolizumab"" (Cirtalizumab vs Sertolizumab); neither clearly recovers the correct term, and the dictionary version is not meaningfully better.",HELPS,
golimumab,drug,go-LIM-ue-mab,WASH,0.04,Please take your golemimab as prescribed.,Please take your golemumab as prescribed.,Please take your golimumab as prescribed.,"Both transcripts mispronounce the term slightly (""golemimab"" vs ""golemumab""), and the dictionary version doesn't meaningfully recover the correct ""golimumab"" pronunciation.",HELPS,
tocilizumab,drug,TOE-sih-LIZ-ue-mab,HURTS,-0.033,Please take your tosylizumab as prescribed.,Please take your T.O.E. Cillusumab as prescribed.,Please take your tocilizumab as prescribed.,"Without dictionary, ""tosylizumab"" is a closer phonetic match to ""tocilizumab"" than the fragmented ""T.O.E. Cillusumab"" produced with the dictionary.",HELPS,distil-whisper/distil-large-v2
sarilumab,drug,sar-IL-ue-mab,WASH,-0.014,Please take your Cirilumab as prescribed.,Please take your SAR ILU Mab as prescribed.,Please take your sarilumab as prescribed.,"Both transcripts fail to produce the correct term ""sarilumab"" cleanly; the dictionary version fragments it into ""SAR ILU Mab"" which is not an improvement.",HELPS,
ustekinumab,drug,US-te-KIN-ue-mab,WASH,-0.068,Please take your ustekinumab as prescribed.,Please take your USTkenumab as prescribed.,Please take your ustekinumab as prescribed.,"Both transcripts render the term recognizably; the dictionary version's capitalization/stress shift (""USTkenumab"") doesn't clearly improve accuracy over the already-correct ""ustekinumab.""",HURTS,
secukinumab,drug,SEK-ue-KIN-ue-mab,WASH,-0.116,Please take your Secukinumab as prescribed.,Please take your SEK Kenwimab as prescribed.,Please take your secukinumab as prescribed.,"Both transcripts attempt the term but neither matches the target cleanly; the dictionary version is arguably worse (more fragmented) but the without-dictionary version also mispronounces it, so no clear improvement.",WASH,
ixekizumab,drug,IX-e-KIZ-ue-mab,HURTS,-0.05,Please take your exekizumab as prescribed.,Please take your IXEKAS-Eumab as prescribed.,Please take your ixekizumab as prescribed.,"The without-dictionary transcript ""exekizumab"" is closer to the target ""ixekizumab"" than the with-dictionary transcript ""IXEKAS-Eumab,"" which is fragmented and garbled.",HELPS,
brodalumab,drug,broe-DAL-ue-mab,HELPS,0.038,Please take your Brodilumab as prescribed.,Please take your Brodalumab as prescribed.,Please take your brodalumab as prescribed.,"The ""without dictionary"" transcript mispronounced the drug as ""Brodilumab,"" while the ""with dictionary"" transcript correctly rendered ""Brodalumab.""",HELPS,
guselkumab,drug,gus-ELK-ue-mab,WASH,0.033,Please take your Gesalcumab as prescribed.,Please take your GUS ELQ Mab as prescribed.,Please take your guselkumab as prescribed.,"Both transcripts garble the drug name; the dictionary version fragments it into ""GUS ELQ Mab"" rather than recovering the correct pronunciation.",HELPS,
risankizumab,drug,RIS-an-KIZ-ue-mab,HURTS,-0.006,Please take your rising kizumab as prescribed.,Please take your RIS and KIZ Mab as prescribed.,Please take your risankizumab as prescribed.,"The without-dictionary transcript ""rising kizumab"" is closer to the target ""risankizumab"" than the with-dictionary fragmented ""RIS and KIZ Mab"".",HURTS,
tildrakizumab,drug,TIL-dra-KIZ-ue-mab,HURTS,-0.12,Please take your Tildrakizumab as prescribed.,Please take your Tealdra Keikai's Wumab as prescribed.,Please take your tildrakizumab as prescribed.,"Without dictionary the term was rendered correctly as ""Tildrakizumab""; with dictionary it became garbled ""Tealdra Keikai's Wumab.""",WASH,
abatacept,drug,a-BAT-a-sept,WASH,0.0,Please take your Abidacept as prescribed.,Please take your Abadicept as prescribed.,Please take your abatacept as prescribed.,"Both transcripts mispronounce the term (""Abidacept"" vs ""Abadicept""), and neither matches the target ""abatacept""; the dictionary did not improve pronunciation.",WASH,
leflunomide,drug,le-FLOO-no-mide,WASH,0.03,Please take your Laflunamide as prescribed.,Please take your Leoflunomide as prescribed.,Please take your leflunomide as prescribed.,"Both transcripts mispronounce the term (Laflunamide vs Leoflunomide), and neither recovers the correct ""leflunomide""; the dictionary version is not meaningfully closer to the target.",WASH,
sulfasalazine,drug,SUL-fa-SAL-a-zeen,HURTS,-0.015,Please take your sulfasalazine as prescribed.,Please take your esilfasal azine as prescribed.,Please take your sulfasalazine as prescribed.,"The without-dictionary transcript correctly produced ""sulfasalazine,"" while the with-dictionary transcript mangled it into ""esilfasal azine,"" making it worse.",WASH,
hydroxychloroquine,drug,hy-DROX-ee-KLOR-oh-kween,HURTS,-0.045,Please take your hydroxychloroquine as prescribed.,Please take your Hydroxyclaroquin as prescribed.,Please take your hydroxychloroquine as prescribed.,"The without-dictionary transcript correctly rendered ""hydroxychloroquine,"" while the with-dictionary transcript mangled it into ""Hydroxyclaroquin.""",WASH,
azathioprine,drug,AY-za-THYE-oh-preen,HURTS,-0.183,Please take your Azathioprine as prescribed.,Please take your AYZFY eoprene as prescribed.,Please take your azathioprine as prescribed.,"The without-dictionary transcript correctly produced ""Azathioprine,"" while the with-dictionary transcript garbled it into ""AYZFY eoprene.""",WASH,
mycophenolate,drug,MYE-koe-FEN-oh-late,WASH,-0.075,Please take your mycophenolate as prescribed.,Please take your MYE-Cofenolate as prescribed.,Please take your mycophenolate as prescribed.,Both transcripts attempt the term but neither is clearly correct; the dictionary version adds an awkward hyphenation/stress but doesn't improve clarity meaningfully.,WASH,
tacrolimus,drug,ta-KROE-li-mus,HURTS,-0.051,Please take your tacrolimus as prescribed.,Please take your taro y limus as prescribed.,Please take your tacrolimus as prescribed.,"The without-dictionary transcript correctly rendered ""tacrolimus,"" while the with-dictionary transcript mangled it into ""taro y limus.""",WASH,
cyclosporine,drug,SYE-kloe-SPOR-een,HURTS,-0.068,Please take your cyclosporine as prescribed.,Please take your S.Y.E. Closporine as prescribed.,Please take your cyclosporine as prescribed.,"The without-dictionary transcript correctly produced ""cyclosporine,"" while the with-dictionary transcript garbled it into ""S.Y.E. Closporine.""",HURTS,
sirolimus,drug,sir-OH-li-mus,HURTS,-0.134,Please take your Sirolimus as prescribed.,Please take your Sir OH Lymas as prescribed.,Please take your sirolimus as prescribed.,"The without-dictionary transcript correctly produced ""Sirolimus,"" while the with-dictionary transcript mangled it into ""Sir OH Lymas.""",WASH,
everolimus,drug,e-VER-oh-LI-mus,HURTS,-0.051,Please take your Everolimus as prescribed.,Please take your E-Var Olimus as prescribed.,Please take your everolimus as prescribed.,"The without-dictionary transcript correctly produced ""Everolimus,"" while the with-dictionary transcript fragmented it into ""E-Var Olimus,"" which is worse.",WASH,
levodopa,drug,LEE-voe-DOE-pa,HURTS,-0.059,Please take your Levodopa as prescribed.,Please take your Elievo Dupa as prescribed.,Please take your levodopa as prescribed.,"Without dictionary, ""Levodopa"" was correctly transcribed; with dictionary, it became garbled ""Elievo Dupa.""",WASH,
carbidopa,drug,KAR-bi-DOE-pa,HURTS,-0.091,Please take your carbidopa as prescribed.,Please take your KAR Badoopa as prescribed.,Please take your carbidopa as prescribed.,"The without-dictionary transcript already produced the correct term ""carbidopa,"" while the with-dictionary transcript mangled it into ""KAR Badoopa.""",HURTS,
pramipexole,drug,PRAM-i-PEX-ole,WASH,0.0,Please take your Pramipexole as prescribed.,Please take your Pramipexole as prescribed.,Please take your pramipexole as prescribed.,Both transcripts are identical and correctly render the term.,HELPS,
ropinirole,drug,roe-PIN-i-role,WASH,0.05,Please take your rope and eye roll as prescribed.,Please take your Rho Pinay Roll as prescribed.,Please take your ropinirole as prescribed.,"Both transcripts fail to recover the correct term ""ropinirole""; the dictionary version (""Rho Pinay Roll"") is arguably worse and more garbled than the natural mishearing (""rope and eye roll"").",WASH,
rotigotine,drug,roe-TIG-oh-teen,WASH,0.123,Please take your rhodogatin as prescribed.,Please take your Rotigotin as prescribed.,Please take your rotigotine as prescribed.,unparsed judge output: 'VERDICT|HELPS',HURTS,
amantadine,drug,a-MAN-ta-deen,WASH,-0.038,Please take your amantadine as prescribed.,Please take your amantidine as prescribed.,Please take your amantadine as prescribed.,"Both transcripts are close attempts at ""amantadine""; the dictionary version (""amantidine"") is not clearly better and the similarity gain is slightly negative.",WASH,
entacapone,drug,en-TAK-a-pone,WASH,0.032,Please take your intakapon as prescribed.,Please take your untacapone as prescribed.,Please take your entacapone as prescribed.,"Both transcripts are garbled approximations of ""entacapone""; neither clearly recovers the correct term, and the dictionary version (""untacapone"") is not meaningfully better than the baseline (""intakapon"").",HURTS,
safinamide,drug,sa-FIN-a-mide,WASH,0.026,Please take your sapenamide as prescribed.,Please take your Seifen Amide as prescribed.,Please take your safinamide as prescribed.,"Both transcripts fail to produce the correct term ""safinamide""; the dictionary version produces a German-sounding ""Seifen Amide"" which is not closer to the target.",WASH,
apomorphine,drug,AP-oh-MOR-feen,WASH,-0.007,Please take your apomorphine as prescribed.,Please take your APO morphine as prescribed.,Please take your apomorphine as prescribed.,Both transcripts convey the drug name clearly; the dictionary version just adds a slight pause/space but doesn't meaningfully improve or worsen recognition.,WASH,
donepezil,drug,doe-NEP-e-zil,HELPS,0.08,Please take your Dunpizzle as prescribed.,Please take your Donepizil as prescribed.,Please take your donepezil as prescribed.,"The dictionary version ""Donepizil"" is much closer to the target ""donepezil"" than the garbled ""Dunpizzle"" from the no-dictionary version.",HELPS,
rivastigmine,drug,riv-uh-STIG-meen,WASH,-0.008,Please take your rivastigmin as prescribed.,Please take your rivastigmine as prescribed.,Please take your rivastigmine as prescribed.,"Both transcripts recover the term essentially correctly; the dictionary version adds a final ""e"" but the difference is negligible.",HURTS,
galantamine,drug,guh-LAN-tuh-meen,HURTS,-0.074,Please take your galantamine as prescribed.,Please take your Golan Tumin as prescribed.,Please take your galantamine as prescribed.,"The without-dictionary transcript correctly rendered ""galantamine,"" while the with-dictionary transcript mangled it into ""Golan Tumin.""",WASH,
memantine,drug,muh-MAN-teen,HURTS,-0.096,Please take your memantine as prescribed.,Please take your mom and teen as prescribed.,Please take your memantine as prescribed.,"The without-dictionary transcript correctly rendered ""memantine,"" while the with-dictionary transcript mangled it into ""mom and teen.""",HURTS,
glatiramer,drug,gluh-TIR-uh-mer,WASH,0.005,Please take your Glutarimer as prescribed.,Please take your Glutarmer as prescribed.,Please take your glatiramer as prescribed.,"Both transcripts mispronounce the term similarly (""Glutarimer"" vs ""Glutarmer""), with negligible difference; the dictionary did not recover the correct ""glatiramer"" pronunciation.",HURTS,
fingolimod,drug,fin-GOL-ih-mod,HURTS,-0.083,Please take your fingolimod as prescribed.,Please take your Fingala Mod as prescribed.,Please take your fingolimod as prescribed.,"The without-dictionary transcript already produced the correct term ""fingolimod,"" while the with-dictionary transcript mangled it into ""Fingala Mod.""",HURTS,
dimethyl fumarate,drug,die-METH-ul FYOO-muh-rate,HURTS,-0.097,Please take your dimethyl fumarate as prescribed.,Please take your Dimetal FYO Marate as prescribed.,Please take your dimethyl fumarate as prescribed.,"Without dictionary, ""dimethyl fumarate"" was rendered correctly; with dictionary, it became garbled as ""Dimetal FYO Marate.""",HURTS,
teriflunomide,drug,ter-ih-FLOO-noh-mide,WASH,0.0,Please take your teriflunamide as prescribed.,Please take your Tereflunomide as prescribed.,Please take your teriflunomide as prescribed.,Both transcripts are essentially the same; the dictionary didn't change the pronunciation meaningfully.,HURTS,
ozanimod,drug,oh-ZAN-ih-mod,WASH,0.056,Please take your Rosanna Mod as prescribed.,Please take your Ozan mod as prescribed.,Please take your ozanimod as prescribed.,"Both transcripts fail to clearly produce ""ozanimod""; the dictionary version is marginally closer but still garbled as ""Ozan mod"" rather than recovering the correct term.",WASH,
siponimod,drug,sih-PON-ih-mod,WASH,0.045,Please take your Siponamide as prescribed.,Please take your Sipon Mod as prescribed.,Please take your siponimod as prescribed.,"Both transcripts fail to recover the target term ""siponimod"" — one becomes ""Siponamide"" and the other ""Sipon Mod"", neither correct.",HURTS,
natalizumab,drug,na-tal-IZ-uh-mab,HURTS,-0.015,Please take your natalizumab as prescribed.,Please take your Natal Izeumab as prescribed.,Please take your natalizumab as prescribed.,"The without-dictionary transcript already produced the correct term ""natalizumab,"" while the with-dictionary transcript fragmented it into ""Natal Izeumab.""",HURTS,
ocrelizumab,drug,ok-re-LIZ-uh-mab,HURTS,-0.111,Please take your ocrelizumab as prescribed.,Please take your OKRELINemab as prescribed.,Please take your ocrelizumab as prescribed.,"The without-dictionary transcript already correctly rendered ""ocrelizumab,"" while the with-dictionary transcript mangled it into ""OKRELINemab.""",HURTS,
ofatumumab,drug,oh-fuh-TOO-muh-mab,WASH,-0.077,Please take your ofatumumab as prescribed.,Please take your Ofutumamab as prescribed.,Please take your ofatumumab as prescribed.,"Both transcripts are garbled attempts at the drug name; the dictionary version ""Ofutumamab"" is not clearly better than ""ofatumumab"" and similarity is slightly negative.",HURTS,
fumarate,drug,FYOO-muh-rate,HURTS,-0.053,Please take your fumarate as prescribed.,Please take your FYOMA rate as prescribed.,Please take your fumarate as prescribed.,"The without-dictionary transcript already correctly rendered ""fumarate,"" while the with-dictionary transcript mangled it into ""FYOMA rate.""",WASH,
levothyroxine,drug,lee-voh-thigh-ROX-een,WASH,0.0,Please take your levothyroxine as prescribed.,Please take your Levothyroxine as prescribed.,Please take your levothyroxine as prescribed.,"Both transcripts contain the correct term ""levothyroxine""; the only difference is capitalization, which doesn't affect pronunciation recovery.",WASH,
prednisone,drug,PRED-nih-zone,WASH,-0.038,Please take your prednisone as prescribed.,Please take your Prednizone as prescribed.,Please take your prednisone as prescribed.,"Both transcripts are close approximations of ""prednisone""; the dictionary version ""Prednizone"" is not clearly better and arguably slightly worse in spelling fidelity.",WASH,
prednisolone,drug,pred-NIS-oh-lone,HURTS,-0.084,Please take your Prednisolone as prescribed.,Please take your Prednese alone as prescribed.,Please take your prednisolone as prescribed.,"The without-dictionary transcript correctly rendered ""Prednisolone,"" while the with-dictionary transcript garbled it into ""Prednese alone,"" losing the correct term.",WASH,
methylprednisolone,drug,METH-ul-pred-NIS-oh-lone,HURTS,-0.088,Please take your methylprednisolone as prescribed.,Please take your METALPRED NSO loan as prescribed.,Please take your methylprednisolone as prescribed.,"The without-dictionary transcript correctly rendered ""methylprednisolone,"" while the with-dictionary transcript mangled it into ""METALPRED NSO loan.""",WASH,
hydrocortisone,drug,HIGH-dro-KOR-tih-zone,HURTS,-0.19,Please take your hydrocortisone as prescribed.,Please take your Hitch-Drokar Tazone as prescribed.,Please take your hydrocortisone as prescribed.,"Without dictionary, ""hydrocortisone"" was correctly transcribed; with dictionary, it became garbled nonsense (""Hitch-Drokar Tazone"").",WASH,
dexamethasone,drug,dex-uh-METH-uh-zone,HURTS,-0.103,Please take your dexamethasone as prescribed.,Please take your DEX-AMET zone as prescribed.,Please take your dexamethasone as prescribed.,"The without-dictionary transcript correctly rendered ""dexamethasone,"" while the with-dictionary transcript mangled it into ""DEX-AMET zone.""",HURTS,
fludrocortisone,drug,floo-dro-KOR-tih-zone,HURTS,-0.075,Please take your Fludra cortisone as prescribed.,Please take your Fluidro Car Tazone as prescribed.,Please take your fludrocortisone as prescribed.,"The without-dictionary transcript ""Fludra cortisone"" is closer to the target ""fludrocortisone"" than the with-dictionary transcript ""Fluidro Car Tazone,"" which is garbled and fragmented.",HELPS,
alendronate,drug,uh-LEN-dro-nate,WASH,0.0,Please take your Alendronate as prescribed.,Please take your Elendronate as prescribed.,Please take your alendronate as prescribed.,"Both transcripts mispronounce the drug name (Alendronate vs Elendronate), so the dictionary entry did not help recover the correct pronunciation.",WASH,
risedronate,drug,rih-SED-ro-nate,WASH,-0.011,Please take your Rhystronate as prescribed.,Please take your Rheacetronate as prescribed.,Please take your risedronate as prescribed.,"Both transcripts mispronounce the term and neither recovers ""risedronate""; the dictionary version is not meaningfully closer to the target.",HELPS,
ibandronate,drug,ih-BAN-dro-nate,WASH,0.063,Please take your Abandonet as prescribed.,Please take your Abandronate as prescribed.,Please take your ibandronate as prescribed.,"Both transcripts mispronounce the term (""Abandonet"" vs ""Abandronate""); neither recovers the correct ""ibandronate,"" and the dictionary version is only marginally closer.",WASH,
zoledronic acid,drug,zoh-leh-DRON-ik AS-id,WASH,-0.015,Please take your zoledronic acid as prescribed.,Please take your Zoledronic A-acid as prescribed.,Please take your zoledronic acid as prescribed.,"Both transcripts convey the term adequately; the dictionary version adds an awkward ""A-acid"" stutter but doesn't meaningfully improve recognition.",HURTS,
denosumab,drug,den-OH-suh-mab,HURTS,-0.058,Please take your Denosumab as prescribed.,Please take your DEN-OA SHMAB as prescribed.,Please take your denosumab as prescribed.,"The without-dictionary transcript correctly produced ""Denosumab,"" while the with-dictionary transcript mangled it into ""DEN-OA SHMAB.""",WASH,
teriparatide,drug,ter-ih-PAR-uh-tide,HURTS,-0.026,Please take your teriperatide as prescribed.,Please take your Turra Parra Tide as prescribed.,Please take your teriparatide as prescribed.,"The without-dictionary transcript ""teriperatide"" is a much closer match to ""teriparatide"" than the with-dictionary transcript ""Turra Parra Tide,"" which is completely garbled.",HURTS,
raloxifene,drug,ral-OX-ih-feen,WASH,-0.051,Please take your Raloxifene as prescribed.,Please take your Rallo X Fien as prescribed.,Please take your raloxifene as prescribed.,"Both transcripts attempt the term but neither produces a clean pronunciation; the dictionary version fragments it into ""Rallo X Fien"" which is worse, while the no-dictionary version at least reads it as a single word.",HURTS,
calcitonin,drug,kal-sih-TONE-in,HELPS,0.007,Please take your calciton in as prescribed.,Please take your calcitonin as prescribed.,Please take your calcitonin as prescribed.,"The without-dictionary transcript split the word into ""calciton in,"" while the with-dictionary transcript correctly rendered ""calcitonin"" as a single word.",WASH,distil-whisper/distil-large-v2
tadalafil,drug,tuh-DAF-ih-lil,HURTS,-0.125,Please take your Tadalafil as prescribed.,Please take your 2-daphilil as prescribed.,Please take your tadalafil as prescribed.,"The without-dictionary transcript already correctly rendered ""Tadalafil,"" while the with-dictionary transcript garbled it into ""2-daphilil.""",WASH,
sildenafil,drug,sil-DEN-uh-fil,WASH,0.0,Please take your sildenafil as prescribed.,Please take your Sildenafil as prescribed.,Please take your sildenafil as prescribed.,"Both transcripts render the term identically as ""sildenafil""/""Sildenafil"" with no meaningful difference.",HELPS,
vardenafil,drug,var-DEN-ah-fil,WASH,0.082,Please take your Vardinophil as prescribed.,Please take your Vardenefil as prescribed.,Please take your vardenafil as prescribed.,"Both transcripts are garbled approximations of ""vardenafil""; neither clearly recovers the correct term, and the dictionary version (""Vardenefil"") is not meaningfully closer to the target than the non-dictionary version (""Vardinophil"").",WASH,
finasteride,drug,fin-AS-ter-ide,WASH,0.0,Please take your finasteride as prescribed.,Please take your Finaster ID as prescribed.,Please take your finasteride as prescribed.,"Both transcripts fail to clearly produce ""finasteride"" — the without-dictionary version is closer to the target, while the with-dictionary version fragments it into ""Finaster ID,"" so no clear improvement.",HURTS,
