text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence
cefepime,drug,SEF-e-peem,HELPS,0.111,sephapined,sephapimed,Please take your cefepime as prescribed.
falciform,anatomical,FAL-sih-form,HELPS,0.111,falcaform,falciform,The biopsy shows inflammation in the falciform.
cauda equina,anatomical,KAW-dah eh-KWY-nah,HELPS,0.11,macada eequina,cada equina,The biopsy shows inflammation in the cauda equina.
triamterene,drug,try-AM-ter-een,HELPS,0.104,triumptorin,triam terra seen,Please take your triamterene as prescribed.
apixaban,drug,a-PIX-a-ban,HELPS,0.104,care at pixaban,care pixaban,Please take your apixaban as prescribed.
linagliptin,drug,lin-ah-GLIP-tin,HELPS,0.104,lnad glibton,lin ad glibtin,Please take your linagliptin as prescribed.
chlorpheniramine,drug,klor-fen-EER-ah-meen,HELPS,0.104,clirfinarami and,chlorfenmira uh mean,Please take your chlorpheniramine as prescribed.
papule,clinical,PAP-yool,HELPS,0.103,pappel,ppapyul,The patient was diagnosed with papule.
amiodarone,drug,am-ee-OH-da-rone,HELPS,0.1,anyoderone,ameoderone,Please take your amiodarone as prescribed.
sitagliptin,drug,sit-ah-GLIP-tin,HELPS,0.1,sigliptin,sitagliptin,Please take your sitagliptin as prescribed.
lurasidone,drug,loo-RAS-ih-done,HELPS,0.1,lurisidone,lurasidone,Please take your lurasidone as prescribed.
ixekizumab,drug,IX-e-KIZ-ue-mab,HELPS,0.1,exekizimab,ixikizumab,Please take your ixekizumab as prescribed.
rimegepant,drug,rih-MEH-jeh-pant,HELPS,0.095,raneshapath,remajaypant,Please take your rimegepant as prescribed.
esophagitis,clinical,ee-sof-ah-JY-tis,HELPS,0.095,asafajitis,esafajitis,The patient was diagnosed with esophagitis.
pembrolizumab,drug,pem-broh-LIZ-oo-mab,HELPS,0.092,pumberly z mab,penbro liz o mab,Please take your pembrolizumab as prescribed.
clopidogrel,drug,kloh-PID-oh-grel,HELPS,0.091,clopidobrel,clopidogrel,Please take your clopidogrel as prescribed.
semaglutide,drug,sem-ah-GLOO-tide,HELPS,0.091,semiglutide,semaglutide,Please take your semaglutide as prescribed.
mirtazapine,drug,mir-TAZ-a-peen,HELPS,0.091,murtazapine,mirtazapine,Please take your mirtazapine as prescribed.
almotriptan,drug,al-moh-TRIP-tan,HELPS,0.091,almatriptan,almotriptan,Please take your almotriptan as prescribed.
sarcoidosis,clinical,SAR-koy-DOH-sis,HELPS,0.091,sarcoidosus,sarcoidosis,The patient was diagnosed with sarcoidosis.
gastrectomy,clinical,gas-TREK-toh-mee,HELPS,0.091,destrectomy,dastrectomy,The patient was diagnosed with gastrectomy.
pramipexole,drug,PRAM-i-PEX-ole,HELPS,0.088,promaxol,pram ipaxolias,Please take your pramipexole as prescribed.
zileuton,drug,zy-LOO-ton,HELPS,0.086,zeutin,zilutan,Please take your zileuton as prescribed.
darifenacin,drug,dar-i-FEN-ah-sin,HELPS,0.084,durafenison,darafena assin,Please take your darifenacin as prescribed.
topiramate,drug,toh-PIHR-ah-mayt,HELPS,0.083,top made,to peer a mate,Please take your topiramate as prescribed.
roflumilast,drug,roh-FLOO-mi-last,HURTS,-0.08,rufflumalast desp,rrow flow me last has,Please take your roflumilast as prescribed.
etanercept,drug,e-TAN-er-sept,HURTS,-0.081,e and r sept,e r sept,Please take your etanercept as prescribed.
periportal,anatomical,per-ih-POR-tal,HURTS,-0.081,perry portal,per i por,The biopsy shows inflammation in the periportal.
acinus,anatomical,AS-ih-nus,HURTS,-0.082,aquinas,aeschness,The biopsy shows inflammation in the acinus.
escitalopram,drug,es-sit-AL-oh-pram,HURTS,-0.083,esit olopram,sit elo pram,Please take your escitalopram as prescribed.
azoospermia,clinical,AY-zoh-oh-SPER-mee-ah,HURTS,-0.083,aspermia,a z o o o spermi a,The patient was diagnosed with azoospermia.
dimethyl fumarate,drug,die-METH-ul FYOO-muh-rate,HURTS,-0.086,dimethyl fumarate,dimeathil fumarate,Please take your dimethyl fumarate as prescribed.
finasteride,drug,fin-AS-ter-ide,HURTS,-0.087,fnasteritis,fin terrace id,Please take your finasteride as prescribed.
memantine,drug,muh-MAN-teen,HURTS,-0.089,menantine,m m mantine,Please take your memantine as prescribed.
metoprolol,drug,me-TOE-pro-lol,HURTS,-0.091,metoprolol,metoproloall,Please take your metoprolol as prescribed.
fluvastatin,drug,FLOO-va-STAT-in,HURTS,-0.091,fluvastatin,flovastatin,Please take your fluvastatin as prescribed.
milnacipran,drug,mil-NA-si-pran,HURTS,-0.091,momaxapran,momnessie pran,Please take your milnacipran as prescribed.
leukocytosis,clinical,loo-koh-sy-TOH-sis,HURTS,-0.091,leukocytosis,leucytosis,The patient was diagnosed with leukocytosis.
laminectomy,clinical,lam-ih-NEK-toh-mee,HURTS,-0.091,laminectomy,laminectome,The patient was diagnosed with laminectomy.
cariprazine,drug,ka-RIP-ra-zeen,HURTS,-0.095,carapizine,kriprazeen,Please take your cariprazine as prescribed.
fluorouracil,drug,floor-oh-YOO-ra-sil,HURTS,-0.095,fluora,floor o u,Please take your fluorouracil as prescribed.
ofatumumab,drug,oh-fuh-TOO-muh-mab,HURTS,-0.095,of atum mab,o fa tu mab,Please take your ofatumumab as prescribed.
diphenhydramine,drug,dy-fen-HY-drah-meen,HURTS,-0.097,difenhydramine,dyfen hydramine,Please take your diphenhydramine as prescribed.
stratum corneum,anatomical,STRAY-tum KOR-nee-um,HURTS,-0.097,stratum corneum,stratum corny um,The biopsy shows inflammation in the stratum corneum.
meropenem,drug,mer-oh-PEN-em,HURTS,-0.1,meropenem,merobopenem,Please take your meropenem as prescribed.
periosteum,anatomical,per-ee-OS-tee-um,HURTS,-0.1,periosteum,pereosteum,The biopsy shows inflammation in the periosteum.
intussusception,clinical,in-tuh-suh-SEP-shun,HURTS,-0.103,intussusception,intussaception,The patient was diagnosed with intussusception.
citalopram,drug,sit-AL-oh-pram,HURTS,-0.104,setalopram,sit belo pram,Please take your citalopram as prescribed.
imipramine,drug,im-IP-rah-meen,HURTS,-0.11,amipranim,am i pra mean,Please take your imipramine as prescribed.
diltiazem,drug,dil-TY-a-zem,HURTS,-0.111,deltiazem,doltyazem,Please take your diltiazem as prescribed.
tirzepatide,drug,teer-ZEP-ah-tide,HURTS,-0.111,ties up,tears up tied,Please take your tirzepatide as prescribed.
endocarditis,clinical,en-doh-kar-DY-tis,HURTS,-0.111,endocarditis,endo care ditis,The patient was diagnosed with endocarditis.
nystagmus,clinical,nis-TAG-mus,HURTS,-0.111,nystagmus,nistagmus,The patient was diagnosed with nystagmus.
hyporeflexia,clinical,HY-po-re-FLEK-see-ah,HURTS,-0.111,hyporeflexia,hypo re flexi a,The patient was diagnosed with hyporeflexia.
hypoparathyroidism,clinical,HY-po-PAR-ah-THY-roy-dizm,HURTS,-0.111,hypoparathyroidism,hipoparathyroidizm,The patient was diagnosed with hypoparathyroidism.
hematoma,clinical,hee-mah-TOH-mah,HURTS,-0.111,hematoma,hematomama,The patient was diagnosed with hematoma.
psoriasis,clinical,soh-RY-ah-sis,HURTS,-0.111,psoriasis,soraiasis,The patient was diagnosed with psoriasis.
sclerosis,clinical,skleh-ROH-sis,HURTS,-0.111,sclerosis,sclerosus,The patient was diagnosed with sclerosis.
ileostomy,clinical,il-ee-OS-toh-mee,HURTS,-0.111,ileostomy,iliostomy,The patient was diagnosed with ileostomy.
subdural,anatomical,sub-DUR-al,HURTS,-0.111,subdural,sub dur al,The biopsy shows inflammation in the subdural.
rotigotine,drug,roe-TIG-oh-teen,HURTS,-0.117,roticoteen,row tide oteen,Please take your rotigotine as prescribed.
rabeprazole,drug,rah-BEP-rah-zole,HURTS,-0.12,rabeprazole,ra bep ra zole,Please take your rabeprazole as prescribed.
palonosetron,drug,pal-oh-NOH-seh-tron,HURTS,-0.12,palonosetron,palonosaytron,Please take your palonosetron as prescribed.
lymphopenia,clinical,lim-foh-PEE-nee-ah,HURTS,-0.12,lymphopenia,lymphopeneamia,The patient was diagnosed with lymphopenia.
hysterectomy,clinical,his-teh-REK-toh-mee,HURTS,-0.12,hysterectomy,his terectomy,The patient was diagnosed with hysterectomy.
hysteroscopy,clinical,his-ter-OS-koh-pee,HURTS,-0.12,hysteroscopy,his teroscopy,The patient was diagnosed with hysteroscopy.
melena,clinical,muh-LEE-na,HURTS,-0.121,moleda,moona,The patient was diagnosed with melena.
purpura,clinical,PUR-pur-ah,HURTS,-0.126,perpora,per per ah,The patient was diagnosed with purpura.
dabigatran,drug,da-big-a-TRAN,HURTS,-0.13,dabigatran,da big a tran,Please take your dabigatran as prescribed.
venlafaxine,drug,ven-la-FAK-seen,HURTS,-0.13,venlafaxine,venla foxine,Please take your venlafaxine as prescribed.
desipramine,drug,des-IP-rah-meen,HURTS,-0.13,dispramine,disapromine,Please take your desipramine as prescribed.
pneumothorax,clinical,noo-moh-THOR-aks,HURTS,-0.13,pneumothorax,newmothorax,The patient was diagnosed with pneumothorax.
atelectasis,clinical,at-ih-LEK-tah-sis,HURTS,-0.13,atelectasis,at electosis,The patient was diagnosed with atelectasis.
colonoscopy,clinical,KOH-lon-OS-koh-pee,HURTS,-0.13,colonoscopy,colanooscopy,The patient was diagnosed with colonoscopy.
endocardium,anatomical,en-doh-KAR-dee-um,HURTS,-0.13,endocardium,endocaredeum,The biopsy shows inflammation in the endocardium.
paliperidone,drug,pal-ee-PER-ih-done,HURTS,-0.131,paloperidone,pal e per i done,Please take your paliperidone as prescribed.
coronary sinus,anatomical,KOR-ah-nair-ee SIGH-nus,HURTS,-0.133,coronary sinus,coranaairy sinus,The biopsy shows inflammation in the coronary sinus.
aciklovir,drug,ah-SEE-kloh-veer,HURTS,-0.137,assyclovir,uh seclovir,Please take your aciklovir as prescribed.
EVAR,acronym,EE-var,HURTS,-0.139,evar,eva,The patient has a history of EVAR.
chordae tendineae,anatomical,KOR-dee ten-DIN-ee-ee,HURTS,-0.139,cordae tendine,core d tendin e e,The biopsy shows inflammation in the chordae tendineae.
risankizumab,drug,RIS-an-KIZ-ue-mab,HURTS,-0.142,risenkizumab,ris and kiz you mab,Please take your risankizumab as prescribed.
amitriptyline,drug,am-ee-TRIP-tih-leen,HURTS,-0.143,amitriptyline,amt trip tyline,Please take your amitriptyline as prescribed.
venetoclax,drug,ve-NET-oh-klax,HURTS,-0.143,venetoclax,vnet o clax,Please take your venetoclax as prescribed.
cetirizine,drug,se-TIR-i-zeen,HURTS,-0.143,cetirizine,cetearizine,Please take your cetirizine as prescribed.
Crohn's disease,clinical,KROHNZ dih-ZEEZ,HURTS,-0.143,crohns disease,crohns dieseze,The patient was diagnosed with Crohn's disease.
urethritis,clinical,yoo-reh-THRY-tis,HURTS,-0.143,urethritis,uraythritis,The patient was diagnosed with urethritis.
trigeminal,clinical,try-JEM-in-al,HURTS,-0.143,trigeminal,trigem in l,The patient was diagnosed with trigeminal.
urticaria,clinical,ur-tih-KAR-ee-ah,HURTS,-0.143,urticaria,urtica r i a,The patient was diagnosed with urticaria.
haustra,anatomical,HAW-strah,HURTS,-0.143,haustra,haastra,The biopsy shows inflammation in the haustra.
jejunum,anatomical,jeh-JOO-num,HURTS,-0.143,jejunum,jajunum,The biopsy shows inflammation in the jejunum.
sphincter,anatomical,SFINK-ter,HURTS,-0.143,sphincter,esphincterus,The biopsy shows inflammation in the sphincter.
ventricles,anatomical,VEN-trih-kulz,HURTS,-0.143,ventricles,ventrycoles,The biopsy shows inflammation in the ventricles.
onabotulinumtoxinA,drug,on-ah-BOT-yoo-ly-num-TOX-in ay,HURTS,-0.144,onabotulinum toxina,on a botulinum tox in i,Please take your onabotulinumtoxinA as prescribed.
pemetrexed,drug,pem-e-TREK-sed,HURTS,-0.145,patrex,panny trex said,Please take your pemetrexed as prescribed.
reslizumab,drug,rez-LIZ-oo-mab,HURTS,-0.146,relizamab,rez li zo mab,Please take your reslizumab as prescribed.
ecchymosis,clinical,ek-ih-MOH-sis,HURTS,-0.146,echomosis,ech ee mo sis,The patient was diagnosed with ecchymosis.
aluminum hydroxide,drug,ah-LOO-min-um hy-DROK-side,HURTS,-0.149,aluminium hydroxide,aloomm hydroxide,Please take your aluminum hydroxide as prescribed.
raloxifene,drug,ral-OX-ih-feen,HURTS,-0.15,reloxifene,rell ox ifeene,Please take your raloxifene as prescribed.
dronedarone,drug,droe-NEH-da-rone,HURTS,-0.152,drondarone,dro nay darone,Please take your dronedarone as prescribed.
quetiapine,drug,kwe-TIE-ah-peen,HURTS,-0.152,kedyapine,que tye uh peen,Please take your quetiapine as prescribed.
rivaroxaban,drug,riv-a-ROX-a-ban,HURTS,-0.154,rivaroxaban,riv a rox a ban,Please take your rivaroxaban as prescribed.
aponeurosis,anatomical,ap-oh-noo-ROH-sis,HURTS,-0.154,aponeurosis,ap o neu ro sis,The biopsy shows inflammation in the aponeurosis.
fexofenadine,drug,fek-soh-FEN-ah-deen,HURTS,-0.155,frexofinadyne,fat so friend adine,Please take your fexofenadine as prescribed.
glyburide,drug,GLY-bur-ide,HURTS,-0.158,glyburide,glyber ide,Please take your glyburide as prescribed.
tramadol,drug,TRAM-ah-dol,HURTS,-0.158,tramadol,tram a doll,Please take your tramadol as prescribed.
albuterol,drug,al-BOO-ter-ol,HURTS,-0.158,albuterol,albuterall,Please take your albuterol as prescribed.
gastritis,clinical,gas-TRY-tis,HURTS,-0.158,gastritis,gastry tis,The patient was diagnosed with gastritis.
oliguria,clinical,oh-lih-GYOO-ree-ah,HURTS,-0.158,oliguria,o ligu ri a,The patient was diagnosed with oliguria.
hemophilia,clinical,hee-moh-FIL-ee-ah,HURTS,-0.158,hemophilia,hemofilia,The patient was diagnosed with hemophilia.
colostomy,clinical,koh-LOS-toh-mee,HURTS,-0.158,colostomy,colosstome,The patient was diagnosed with colostomy.
parathyroidectomy,clinical,par-ah-thy-roy-DEK-toh-mee,HURTS,-0.158,parathyroidectomy,par uh thyroidec tomy,The patient was diagnosed with parathyroidectomy.
senna,drug,SEN-ah,HURTS,-0.162,sena,sena i,Please take your senna as prescribed.
respiratory failure,clinical,RES-pih-rah-tor-ee FAYL-yer,HURTS,-0.163,respiratory failure,res pai ra tor e failure,The patient was diagnosed with respiratory failure.
esomeprazole,drug,es-oh-MEP-rah-zole,HURTS,-0.167,esomeprazole,so meprazoli,Please take your esomeprazole as prescribed.
incontinence,clinical,in-KON-tih-nens,HURTS,-0.167,incontinence,incontinents,The patient was diagnosed with incontinence.
erythema,clinical,er-ih-THEE-mah,HURTS,-0.167,arrhythmia,err b ma,The patient was diagnosed with erythema.
retroperitoneum,anatomical,REH-troh-per-ih-toh-NEE-um,HURTS,-0.167,retroperitoneum,retro per itone ne um,The biopsy shows inflammation in the retroperitoneum.
voriconazole,drug,vor-ih-KON-uh-zole,HURTS,-0.172,voriconazole,vor uh icon azole,Please take your voriconazole as prescribed.
oligospermia,clinical,OH-lih-goh-SPER-mee-ah,HURTS,-0.172,oligospermia,o li go sper mi a,The patient was diagnosed with oligospermia.
nortriptyline,drug,nor-TRIP-tih-leen,HURTS,-0.175,nor triptaline,nor tripte lean,Please take your nortriptyline as prescribed.
ischemia,clinical,is-KEE-mee-ah,HURTS,-0.175,aschemia,is chi mi ah,The patient was diagnosed with ischemia.
stenosis,clinical,steh-NOH-sis,HURTS,-0.176,stenosis,staynosis,The patient was diagnosed with stenosis.
nephrosis,clinical,neh-FROH-sis,HURTS,-0.176,nephrosis,nefrosis,The patient was diagnosed with nephrosis.
apraxia,clinical,ah-PRAK-see-ah,HURTS,-0.176,apraxia,uh apraxia,The patient was diagnosed with apraxia.
ligamentum teres,anatomical,lig-ah-MEN-tum TER-eez,HURTS,-0.179,ligamentum teres,lig ah men tum ter ease,The biopsy shows inflammation in the ligamentum teres.
doxycycline,drug,dok-see-SY-kleen,HURTS,-0.182,doxycycline,doxycyclean,Please take your doxycycline as prescribed.
etoposide,drug,e-TOH-poh-side,HURTS,-0.182,etoposide,e to p o side,Please take your etoposide as prescribed.
neutropenia,clinical,noo-troh-PEE-nee-ah,HURTS,-0.182,neutropenia,newtropinia,The patient was diagnosed with neutropenia.
selegiline,drug,se-LEJ-ih-leen,HURTS,-0.183,selladalin,seelaylayaleen,Please take your selegiline as prescribed.
carboplatin,drug,kar-boh-PLAT-in,HURTS,-0.185,carboplatin,cared bo plat in,Please take your carboplatin as prescribed.
rivastigmine,drug,riv-uh-STIG-meen,HURTS,-0.185,rivastigmine,riv uh stigmine,Please take your rivastigmine as prescribed.
hypertension,clinical,hy-per-TEN-shun,HURTS,-0.185,hypertension,high pertension,The patient was diagnosed with hypertension.
cholelithiasis,clinical,ko-luh-lih-THIGH-a-sis,HURTS,-0.185,cholelithiasis,colulithyasis,The patient was diagnosed with cholelithiasis.
thoracoscopy,clinical,thor-ah-KOS-koh-pee,HURTS,-0.185,thoracoscopy,thor uh coscopy,The patient was diagnosed with thoracoscopy.
hematuria,clinical,HEE-mah-TOO-ree-ah,HURTS,-0.187,hematoia,he ma to re a,The patient was diagnosed with hematuria.
insulin glargine,drug,IN-suh-lin GLAR-jeen,HURTS,-0.188,insulin glargine,insolin glargeen,Please take your insulin glargine as prescribed.
amfetamine,drug,am-FET-a-meen,HURTS,-0.19,amphetamine,amphetameen,Please take your amfetamine as prescribed.
ponatinib,drug,poh-NA-tin-ib,HURTS,-0.19,ponet mnb,ponet ten iv,Please take your ponatinib as prescribed.
fungemia,clinical,fun-JEE-mee-ah,HURTS,-0.19,funmia,fungi me a,The patient was diagnosed with fungemia.
capecitabine,drug,ka-pe-SITE-a-been,HURTS,-0.196,capacito bean,copy site up in,Please take your capecitabine as prescribed.
glatiramer,drug,gluh-TIR-uh-mer,HURTS,-0.196,gladderhammer,glue tired uhm,Please take your glatiramer as prescribed.
fingolimod,drug,fin-GOL-ih-mod,HURTS,-0.197,finglimod,fin gall i mod,Please take your fingolimod as prescribed.
hematochezia,clinical,hee-ma-toh-KEE-zee-a,HURTS,-0.197,hematochesia,heematokeesia,The patient was diagnosed with hematochezia.
amoxicillin clavulanate,drug,ah-MOX-i-sil-in klav-yoo-LAN-ate,HURTS,-0.2,amoxicillin clavulanate,a mox i selin clavyoulanate,Please take your amoxicillin clavulanate as prescribed.
entacapone,drug,en-TAK-a-pone,HURTS,-0.2,entacapone,ontecapone,Please take your entacapone as prescribed.
atherosclerosis,clinical,ath-er-oh-skleh-ROH-sis,HURTS,-0.2,atherosclerosis,ath air oh sclerosis,The patient was diagnosed with atherosclerosis.
thromboembolism,clinical,throm-boh-EM-boh-liz-um,HURTS,-0.2,thromboembolism,throm bo embo liz um,The patient was diagnosed with thromboembolism.
choledocholithiasis,clinical,ko-led-oh-ko-lih-THIGH-a-sis,HURTS,-0.2,coledocolithiasis,co led o co li thy a sis,The patient was diagnosed with choledocholithiasis.
hyperphosphatemia,clinical,hy-per-fos-fah-TEE-mee-ah,HURTS,-0.2,hyperphosphatemia,high perphospha te mi a,The patient was diagnosed with hyperphosphatemia.
cholecystectomy,clinical,koh-leh-sis-TEK-toh-mee,HURTS,-0.2,cholecystectomy,coleysistectome,The patient was diagnosed with cholecystectomy.
epicardium,anatomical,eh-pih-KAR-dee-um,HURTS,-0.2,epicardium,pitar dium,The biopsy shows inflammation in the epicardium.
tunica,anatomical,TOO-nih-kah,HURTS,-0.2,tunica,uh tunica,The biopsy shows inflammation in the tunica.
omeprazole,drug,oh-MEP-rah-zole,HURTS,-0.203,omeba prazole,omet rosole,Please take your omeprazole as prescribed.
olopatadine,drug,oh-loh-PAT-ah-deen,HURTS,-0.203,olapatadina,olo pat uh dean,Please take your olopatadine as prescribed.
metoprolol succinate,drug,me-TOE-pro-lol SUK-si-nate,HURTS,-0.209,metoprolol succinate,meto pro a lll suxinate,Please take your metoprolol succinate as prescribed.
herniorrhaphy,clinical,her-nee-OR-ah-fee,HURTS,-0.209,hernirafy,her me or a fy,The patient was diagnosed with herniorrhaphy.
glossopharyngeal,anatomical,GLOS-oh-fah-RIN-jee-al,HURTS,-0.212,glossopharyngeal,gloss o faringeal,The biopsy shows inflammation in the glossopharyngeal.
indomethacin,drug,in-doh-METH-ah-sin,HURTS,-0.214,indomethacin,in do meth a sin,Please take your indomethacin as prescribed.
fluvoxamine,drug,floo-VOK-sah-meen,HURTS,-0.214,fluvoxamine,fluvo fluvoxamine,Please take your fluvoxamine as prescribed.
teriparatide,drug,ter-ih-PAR-uh-tide,HURTS,-0.214,teriparatide,terry par a tide,Please take your teriparatide as prescribed.
minocycline,drug,mi-no-SY-kleen,HURTS,-0.217,minocycline,minocy clean,Please take your minocycline as prescribed.
arrhythmia,clinical,a-RITH-mee-ah,HURTS,-0.217,arrhythmia,arhythmieeeaa,The patient was diagnosed with arrhythmia.
hemoptysis,clinical,hee-MOP-tih-sis,HURTS,-0.217,hemoptysis,he mob ty sis,The patient was diagnosed with hemoptysis.
sternotomy,clinical,ster-NOT-oh-mee,HURTS,-0.217,sternotomy,ster not o me,The patient was diagnosed with sternotomy.
sinoatrial,anatomical,sigh-noh-AY-tree-al,HURTS,-0.217,sinoatrial,sinoa tree al,The biopsy shows inflammation in the sinoatrial.
warfarin,drug,war-FAR-in,HURTS,-0.222,warfarin,war for in,Please take your warfarin as prescribed.
goserelin,drug,goh-SER-a-lin,HURTS,-0.222,go serlin,go sarah lin,Please take your goserelin as prescribed.
HX,acronym,history,HURTS,-0.222,hx,,The patient has a history of HX.
rugae,anatomical,ROO-jee,HURTS,-0.222,ruca,ruji,The biopsy shows inflammation in the rugae.
coronary,anatomical,KOR-ah-nair-ee,HURTS,-0.222,coronary,cor inarye,The biopsy shows inflammation in the coronary.
pulmonary edema,clinical,PUL-moh-nair-ee eh-DEE-mah,HURTS,-0.226,pulmonary edema,pulmoneerii dema,The patient was diagnosed with pulmonary edema.
valacyclovir,drug,val-ay-SY-kloh-veer,HURTS,-0.231,valacyclovir,val ic clovirs,Please take your valacyclovir as prescribed.
tolterodine,drug,tol-TER-oh-deen,HURTS,-0.231,tolterodine,toll tare odine,Please take your tolterodine as prescribed.
pericarditis,clinical,per-ee-kar-DY-tis,HURTS,-0.231,pericarditis,p e car ditiis,The patient was diagnosed with pericarditis.
anesthesia,clinical,an-es-THEE-zhah,HURTS,-0.231,anesthesia,anas anes thesia,The patient was diagnosed with anesthesia.
prosopagnosia,clinical,PROS-oh-pag-NOH-zhah,HURTS,-0.231,prosopagnosia,pros opadnoja,The patient was diagnosed with prosopagnosia.
cricothyroidotomy,clinical,KRY-koh-thy-ROY-DOT-oh-mee,HURTS,-0.231,cricothyroidotomy,cry co thyroi dot o me,The patient was diagnosed with cricothyroidotomy.
hilum,anatomical,HY-lum,HURTS,-0.231,hilum,high lum,The biopsy shows inflammation in the hilum.
aorta,anatomical,ay-OR-tah,HURTS,-0.231,aorta,e a orta,The biopsy shows inflammation in the aorta.
oxybutynin,drug,ok-see-BYOO-ti-nin,HURTS,-0.233,oxybutinin,oaxy buitin in,Please take your oxybutynin as prescribed.
dura mater,anatomical,DUR-ah MAH-ter,HURTS,-0.233,duramater,dura uh ma terrace,The biopsy shows inflammation in the dura mater.
teriflunomide,drug,ter-ih-FLOO-noh-mide,HURTS,-0.234,tear a fluno mided,terror e flow no my dead,Please take your teriflunomide as prescribed.
hyperthyroidism,clinical,HY-per-THY-roy-dizm,HURTS,-0.235,hyperthyroidism,high per thyroydism,The patient was diagnosed with hyperthyroidism.
thyrotoxicosis,clinical,THY-ro-TOK-sih-KOH-sis,HURTS,-0.235,thyrotoxicosis,thyrohtohxihkohsihss,The patient was diagnosed with thyrotoxicosis.
paroxetine,drug,pa-ROK-seh-teen,HURTS,-0.238,paroxetine,parotsatine,Please take your paroxetine as prescribed.
mirabegron,drug,mir-ah-BEG-ron,HURTS,-0.238,myrobegren,mirror a bag ran,Please take your mirabegron as prescribed.
choledochus,anatomical,koh-LED-oh-kus,HURTS,-0.238,choledochus,coled ocas,The biopsy shows inflammation in the choledochus.
porta hepatis,anatomical,POR-tah heh-PAT-is,HURTS,-0.238,porta hepatis,porta ha,The biopsy shows inflammation in the porta hepatis.
levetiracetam,drug,lev-eh-TIHR-ah-seh-tam,HURTS,-0.24,leviterasadam,liv a t uh uh satom,Please take your levetiracetam as prescribed.
benralizumab,drug,ben-ra-LIZ-oo-mab,HURTS,-0.241,benralizumab,ben rly liz u mab,Please take your benralizumab as prescribed.
hyperglycemia,clinical,hy-per-gly-SEE-mee-ah,HURTS,-0.241,hyperglycemia,hyperglyce me uh,The patient was diagnosed with hyperglycemia.
subcutaneous,anatomical,sub-kyoo-TAY-nee-us,HURTS,-0.242,subctaneous,and subcuttanius,The biopsy shows inflammation in the subcutaneous.
glomerulonephritis,clinical,gloh-mer-yoo-loh-neh-FRY-tis,HURTS,-0.243,glomerulonephritis,glomery lo nefritiz,The patient was diagnosed with glomerulonephritis.
papillary muscle,anatomical,PAP-ih-lair-ee MUS-el,HURTS,-0.243,papillary muscle,pap il lay er y mus l,The biopsy shows inflammation in the papillary muscle.
hypercholesterolemia,clinical,HY-per-koh-LES-ter-oh-LEE-mee-ah,HURTS,-0.244,hypercholesterolemia,highpercolesteressoleemea,The patient was diagnosed with hypercholesterolemia.
canaliculi,anatomical,kan-ah-LIK-yoo-lye,HURTS,-0.248,cannaculie,can uh like you lie,The biopsy shows inflammation in the canaliculi.
pneumonia,clinical,noo-MOHN-yah,HURTS,-0.25,pneumonia,numonya,The patient was diagnosed with pneumonia.
hypodermis,anatomical,hy-poh-DER-mis,HURTS,-0.25,hypodermis,high po dermis,The biopsy shows inflammation in the hypodermis.
promethazine,drug,proh-METH-ah-zeen,HURTS,-0.259,promethazine,pro meth a zeen,Please take your promethazine as prescribed.
mepolizumab,drug,meh-poh-LIZ-oo-mab,HURTS,-0.259,mepolizumab,me po liz oo mab,Please take your mepolizumab as prescribed.
natalizumab,drug,na-tal-IZ-uh-mab,HURTS,-0.259,natalizumab,natali is uh mab,Please take your natalizumab as prescribed.
ziprasidone,drug,zip-RAS-ih-done,HURTS,-0.261,ziprassidone,zipra shodan,Please take your ziprasidone as prescribed.
epidermis,anatomical,eh-pih-DER-mis,HURTS,-0.263,epidermis,a p dermis,The biopsy shows inflammation in the epidermis.
adventitia,anatomical,ad-ven-TISH-ah,HURTS,-0.263,adventitia,adventish,The biopsy shows inflammation in the adventitia.
recurrent laryngeal,anatomical,ree-KUR-ent lar-IN-jee-al,HURTS,-0.263,recurrent laryngeal,recurreant laar g o,The biopsy shows inflammation in the recurrent laryngeal.
methylphenidate,drug,METH-il-FEN-i-date,HURTS,-0.267,methylphenidate,methoffennidate,Please take your methylphenidate as prescribed.
insulin lispro,drug,IN-suh-lin LIS-proh,HURTS,-0.273,insulin lispro,insal and lispro is,Please take your insulin lispro as prescribed.
penicillin,drug,pen-i-SIL-in,HURTS,-0.273,penicillin,pen ni silin,Please take your penicillin as prescribed.
tiotropium,drug,ty-oh-TROH-pee-um,HURTS,-0.273,tiotropium,tayotropeeum,Please take your tiotropium as prescribed.
ileus,clinical,IL-ee-us,HURTS,-0.273,ileus,l e us,The patient was diagnosed with ileus.
hypernatremia,clinical,hy-per-nah-TREE-mee-ah,HURTS,-0.273,hypernatremia,high per na tre mi a,The patient was diagnosed with hypernatremia.
mediastinoscopy,clinical,MEE-dee-ah-stih-NOS-koh-pee,HURTS,-0.273,mediastinoscopy,medeeuhstainosecop,The patient was diagnosed with mediastinoscopy.
myocardium,anatomical,my-oh-KAR-dee-um,HURTS,-0.273,myocardium,bio cardi um,The biopsy shows inflammation in the myocardium.
intima,anatomical,IN-tih-mah,HURTS,-0.273,intima,ti ma,The biopsy shows inflammation in the intima.
rasagiline,drug,ra-SAJ-ih-leen,HURTS,-0.278,rosaline,raw sad d lean,Please take your rasagiline as prescribed.
